Category,Parameter,F1,Precision,Recall,Measure
LCDD,"(100.0, 100.0, 200.0)",0.1527041357370095,0.0869040434520217,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 5.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 10.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 20.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 50.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 100.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 150.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(200.0, 200.0, 200.0)",0.2627737226277372,0.1660899653979238,0.62882096069869,5.0
LCDD,"(300.0, 300.0, 5.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 10.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 20.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 50.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 100.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 150.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(300.0, 300.0, 200.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(400.0, 400.0, 5.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 10.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 20.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 50.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 100.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 150.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(400.0, 400.0, 200.0)",0.2537517053206002,0.1845238095238095,0.4061135371179039,5.0
LCDD,"(600.0, 600.0, 5.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 10.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 20.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 50.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 100.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 150.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(600.0, 600.0, 200.0)",0.1002178649237472,0.1,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 5.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 10.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 20.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 50.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 100.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 150.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(800.0, 800.0, 200.0)",0.113022113022113,0.1292134831460674,0.1004366812227074,5.0
LCDD,"(1200.0, 1200.0, 5.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 10.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 20.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 50.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 100.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 150.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
LCDD,"(1200.0, 1200.0, 200.0)",0.0060240963855421,0.0097087378640776,0.0043668122270742,5.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 10.0)",0.4793388429752066,0.6492537313432836,0.3799126637554585,5.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 20.0)",0.5054945054945055,0.6814814814814815,0.4017467248908297,5.0
Martjushev ADWIN J,"(100.0, 400.0, 0.4, 50.0)",0.5260273972602739,0.7058823529411765,0.4192139737991266,5.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 10.0)",0.5492227979274611,0.6751592356687898,0.462882096069869,5.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 20.0)",0.5684754521963825,0.6962025316455697,0.4803493449781659,5.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 50.0)",0.570694087403599,0.69375,0.4847161572052402,5.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 10.0)",0.5141388174807198,0.625,0.4366812227074236,5.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 20.0)",0.5435897435897435,0.6583850931677019,0.462882096069869,5.0
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 50.0)",0.5918367346938775,0.7116564417177914,0.5065502183406113,5.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 10.0)",0.4962025316455696,0.5903614457831325,0.4279475982532751,5.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 20.0)",0.5164556962025316,0.6144578313253012,0.445414847161572,5.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 50.0)",0.5518987341772151,0.6566265060240963,0.4759825327510917,5.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 10.0)",0.4793388429752066,0.6492537313432836,0.3799126637554585,5.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 20.0)",0.5054945054945055,0.6814814814814815,0.4017467248908297,5.0
Martjushev ADWIN J,"(200.0, 400.0, 0.4, 50.0)",0.5260273972602739,0.7058823529411765,0.4192139737991266,5.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 10.0)",0.5492227979274611,0.6751592356687898,0.462882096069869,5.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 20.0)",0.5684754521963825,0.6962025316455697,0.4803493449781659,5.0
Martjushev ADWIN J,"(200.0, 500.0, 0.4, 50.0)",0.570694087403599,0.69375,0.4847161572052402,5.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 10.0)",0.5141388174807198,0.625,0.4366812227074236,5.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 20.0)",0.5435897435897435,0.6583850931677019,0.462882096069869,5.0
Martjushev ADWIN J,"(200.0, 600.0, 0.4, 50.0)",0.5918367346938775,0.7116564417177914,0.5065502183406113,5.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 10.0)",0.4962025316455696,0.5903614457831325,0.4279475982532751,5.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 20.0)",0.5164556962025316,0.6144578313253012,0.445414847161572,5.0
Martjushev ADWIN J,"(200.0, 700.0, 0.4, 50.0)",0.5518987341772151,0.6566265060240963,0.4759825327510917,5.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 10.0)",0.512396694214876,0.6940298507462687,0.4061135371179039,5.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 20.0)",0.5164835164835164,0.6962962962962963,0.4104803493449782,5.0
Martjushev ADWIN J,"(300.0, 400.0, 0.4, 50.0)",0.5260273972602739,0.7058823529411765,0.4192139737991266,5.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 10.0)",0.5803108808290155,0.7133757961783439,0.4890829694323144,5.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 20.0)",0.5788113695090439,0.7088607594936709,0.4890829694323144,5.0
Martjushev ADWIN J,"(300.0, 500.0, 0.4, 50.0)",0.570694087403599,0.69375,0.4847161572052402,5.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 10.0)",0.5449871465295629,0.6625,0.462882096069869,5.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 20.0)",0.5538461538461539,0.6708074534161491,0.4716157205240174,5.0
Martjushev ADWIN J,"(300.0, 600.0, 0.4, 50.0)",0.5918367346938775,0.7116564417177914,0.5065502183406113,5.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 10.0)",0.5265822784810127,0.6265060240963856,0.4541484716157205,5.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 20.0)",0.5265822784810127,0.6265060240963856,0.4541484716157205,5.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 50.0)",0.5518987341772151,0.6566265060240963,0.4759825327510917,5.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 10.0)",0.4383561643835616,0.5882352941176471,0.3493449781659388,5.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 20.0)",0.4493150684931506,0.6029411764705882,0.3580786026200873,5.0
Martjushev ADWIN J,"(400.0, 400.0, 0.4, 50.0)",0.4657534246575342,0.625,0.37117903930131,5.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 10.0)",0.5103092783505154,0.6226415094339622,0.4323144104803493,5.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 20.0)",0.5154639175257731,0.6289308176100629,0.4366812227074236,5.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 50.0)",0.5141388174807198,0.625,0.4366812227074236,5.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 10.0)",0.4757033248081841,0.5740740740740741,0.4061135371179039,5.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 20.0)",0.4859335038363171,0.5864197530864198,0.4148471615720524,5.0
Martjushev ADWIN J,"(400.0, 600.0, 0.4, 50.0)",0.5357142857142857,0.6441717791411042,0.4585152838427948,5.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 10.0)",0.4584382871536523,0.5416666666666666,0.3973799126637554,5.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 20.0)",0.4646464646464646,0.5508982035928144,0.4017467248908297,5.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 50.0)",0.4962025316455696,0.5903614457831325,0.4279475982532751,5.0
ProDrift,"(50.0, 2.0)",0.182509505703422,0.7058823529411765,0.1048034934497816,5.0
ProDrift,"(100.0, 2.0)",0.2593856655290102,0.59375,0.1659388646288209,5.0
ProDrift,"(150.0, 2.0)",0.101010101010101,0.2205882352941176,0.0655021834061135,5.0
ProDrift,"(200.0, 2.0)",0.1133333333333333,0.2394366197183098,0.074235807860262,5.0
ProDrift,"(250.0, 2.0)",0.119205298013245,0.2465753424657534,0.0786026200873362,5.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,5.0
Process Graph Metrics,"(100.0, 400.0, 0.0001)",0.6072423398328691,0.8384615384615385,0.4759825327510917,5.0
Process Graph Metrics,"(100.0, 400.0, 0.005)",0.6206896551724138,0.7905405405405406,0.5109170305676856,5.0
Process Graph Metrics,"(100.0, 400.0, 0.05)",0.6536585365853659,0.7403314917127072,0.5851528384279476,5.0
Process Graph Metrics,"(100.0, 400.0, 0.1)",0.6359447004608295,0.6731707317073171,0.6026200873362445,5.0
Process Graph Metrics,"(100.0, 500.0, 0.0001)",0.6702412868632708,0.8680555555555556,0.5458515283842795,5.0
Process Graph Metrics,"(100.0, 500.0, 0.005)",0.6735751295336788,0.8280254777070064,0.5676855895196506,5.0
Process Graph Metrics,"(100.0, 500.0, 0.05)",0.6862745098039216,0.7821229050279329,0.611353711790393,5.0
Process Graph Metrics,"(100.0, 500.0, 0.1)",0.6634844868735084,0.7315789473684211,0.6069868995633187,5.0
Process Graph Metrics,"(100.0, 600.0, 0.0001)",0.6456692913385828,0.8092105263157895,0.537117903930131,5.0
Process Graph Metrics,"(100.0, 600.0, 0.005)",0.6717171717171717,0.7964071856287425,0.5807860262008734,5.0
Process Graph Metrics,"(100.0, 600.0, 0.05)",0.6747572815533981,0.7595628415300546,0.6069868995633187,5.0
Process Graph Metrics,"(100.0, 600.0, 0.1)",0.631578947368421,0.6984126984126984,0.5764192139737991,5.0
Process Graph Metrics,"(100.0, 700.0, 0.0001)",0.6363636363636362,0.7544910179640718,0.5502183406113537,5.0
Process Graph Metrics,"(100.0, 700.0, 0.005)",0.6506024096385542,0.7258064516129032,0.5895196506550219,5.0
Process Graph Metrics,"(100.0, 700.0, 0.05)",0.6682242990654206,0.7185929648241206,0.6244541484716157,5.0
Process Graph Metrics,"(100.0, 700.0, 0.1)",0.6651480637813212,0.6952380952380952,0.6375545851528385,5.0
Process Graph Metrics,"(200.0, 400.0, 0.0001)",0.6183844011142061,0.8538461538461538,0.4847161572052402,5.0
Process Graph Metrics,"(200.0, 400.0, 0.005)",0.6363636363636364,0.8206896551724138,0.519650655021834,5.0
Process Graph Metrics,"(200.0, 400.0, 0.05)",0.671604938271605,0.7727272727272727,0.5938864628820961,5.0
Process Graph Metrics,"(200.0, 400.0, 0.1)",0.6428571428571429,0.7068062827225131,0.5895196506550219,5.0
Process Graph Metrics,"(200.0, 500.0, 0.0001)",0.6809651474530831,0.8819444444444444,0.5545851528384279,5.0
Process Graph Metrics,"(200.0, 500.0, 0.005)",0.676923076923077,0.8198757763975155,0.5764192139737991,5.0
Process Graph Metrics,"(200.0, 500.0, 0.05)",0.7047146401985112,0.8160919540229885,0.6200873362445415,5.0
Process Graph Metrics,"(200.0, 500.0, 0.1)",0.661800486618005,0.7472527472527473,0.5938864628820961,5.0
Process Graph Metrics,"(200.0, 600.0, 0.0001)",0.6631299734748011,0.8445945945945946,0.5458515283842795,5.0
Process Graph Metrics,"(200.0, 600.0, 0.005)",0.6750629722921915,0.7976190476190477,0.5851528384279476,5.0
Process Graph Metrics,"(200.0, 600.0, 0.05)",0.696078431372549,0.7932960893854749,0.6200873362445415,5.0
Process Graph Metrics,"(200.0, 600.0, 0.1)",0.6470588235294118,0.7374301675977654,0.5764192139737991,5.0
Process Graph Metrics,"(200.0, 700.0, 0.0001)",0.6377551020408163,0.7668711656441718,0.5458515283842795,5.0
Process Graph Metrics,"(200.0, 700.0, 0.005)",0.6875,0.7647058823529411,0.6244541484716157,5.0
Process Graph Metrics,"(200.0, 700.0, 0.05)",0.7230046948356808,0.7817258883248731,0.6724890829694323,5.0
Process Graph Metrics,"(200.0, 700.0, 0.1)",0.6926605504587157,0.7294685990338164,0.6593886462882096,5.0
Process Graph Metrics,"(300.0, 400.0, 0.0001)",0.6072423398328691,0.8384615384615385,0.4759825327510917,5.0
Process Graph Metrics,"(300.0, 400.0, 0.005)",0.6223404255319148,0.7959183673469388,0.5109170305676856,5.0
Process Graph Metrics,"(300.0, 400.0, 0.05)",0.665024630541872,0.7627118644067796,0.5895196506550219,5.0
Process Graph Metrics,"(300.0, 400.0, 0.1)",0.6619385342789599,0.7216494845360825,0.611353711790393,5.0
Process Graph Metrics,"(300.0, 500.0, 0.0001)",0.6702412868632708,0.8680555555555556,0.5458515283842795,5.0
Process Graph Metrics,"(300.0, 500.0, 0.005)",0.6753246753246753,0.8333333333333334,0.5676855895196506,5.0
Process Graph Metrics,"(300.0, 500.0, 0.05)",0.6980198019801981,0.8057142857142857,0.6157205240174672,5.0
Process Graph Metrics,"(300.0, 500.0, 0.1)",0.6945812807881774,0.7966101694915254,0.6157205240174672,5.0
Process Graph Metrics,"(300.0, 600.0, 0.0001)",0.6456692913385828,0.8092105263157895,0.537117903930131,5.0
Process Graph Metrics,"(300.0, 600.0, 0.005)",0.6734177215189874,0.8012048192771084,0.5807860262008734,5.0
Process Graph Metrics,"(300.0, 600.0, 0.05)",0.684596577017115,0.7777777777777778,0.611353711790393,5.0
Process Graph Metrics,"(300.0, 600.0, 0.1)",0.6600985221674878,0.7570621468926554,0.5851528384279476,5.0
Process Graph Metrics,"(300.0, 700.0, 0.0001)",0.6363636363636362,0.7544910179640718,0.5502183406113537,5.0
Process Graph Metrics,"(300.0, 700.0, 0.005)",0.6521739130434783,0.7297297297297297,0.5895196506550219,5.0
Process Graph Metrics,"(300.0, 700.0, 0.05)",0.6776470588235295,0.7346938775510204,0.62882096069869,5.0
Process Graph Metrics,"(300.0, 700.0, 0.1)",0.6915887850467289,0.7437185929648241,0.6462882096069869,5.0
Process Graph Metrics,"(400.0, 400.0, 0.0001)",0.489010989010989,0.6592592592592592,0.388646288209607,5.0
Process Graph Metrics,"(400.0, 400.0, 0.005)",0.4727272727272727,0.5833333333333334,0.3973799126637554,5.0
Process Graph Metrics,"(400.0, 400.0, 0.05)",0.4901960784313725,0.5586592178770949,0.4366812227074236,5.0
Process Graph Metrics,"(400.0, 400.0, 0.1)",0.4893111638954869,0.5364583333333334,0.4497816593886463,5.0
Process Graph Metrics,"(400.0, 500.0, 0.0001)",0.5526315789473685,0.695364238410596,0.4585152838427948,5.0
Process Graph Metrics,"(400.0, 500.0, 0.005)",0.5292620865139949,0.6341463414634146,0.4541484716157205,5.0
Process Graph Metrics,"(400.0, 500.0, 0.05)",0.5286783042394014,0.6162790697674418,0.462882096069869,5.0
Process Graph Metrics,"(400.0, 500.0, 0.1)",0.513715710723192,0.5988372093023255,0.4497816593886463,5.0
Process Graph Metrics,"(400.0, 600.0, 0.0001)",0.5758354755784062,0.7,0.4890829694323144,5.0
Process Graph Metrics,"(400.0, 600.0, 0.005)",0.5922330097087378,0.6666666666666666,0.5327510917030568,5.0
Process Graph Metrics,"(400.0, 600.0, 0.05)",0.5845410628019324,0.654054054054054,0.5283842794759825,5.0
Process Graph Metrics,"(400.0, 600.0, 0.1)",0.5714285714285714,0.6282722513089005,0.5240174672489083,5.0
Process Graph Metrics,"(400.0, 700.0, 0.0001)",0.4962779156327543,0.5747126436781609,0.4366812227074236,5.0
Process Graph Metrics,"(400.0, 700.0, 0.005)",0.5336538461538461,0.5935828877005348,0.4847161572052402,5.0
Process Graph Metrics,"(400.0, 700.0, 0.05)",0.5368171021377671,0.5885416666666666,0.4934497816593886,5.0
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.5305164319248826,0.5736040609137056,0.4934497816593886,5.0
Zheng DBSCAN,"(300.0, 30.0)",0.3539445628997867,0.3458333333333333,0.3624454148471616,5.0
Zheng DBSCAN,"(300.0, 60.0)",0.386046511627907,0.4129353233830846,0.3624454148471616,5.0
Zheng DBSCAN,"(300.0, 90.0)",0.4019370460048426,0.4510869565217391,0.3624454148471616,5.0
Zheng DBSCAN,"(300.0, 120.0)",0.4098765432098765,0.4715909090909091,0.3624454148471616,5.0
Zheng DBSCAN,"(300.0, 150.0)",0.4060150375939849,0.4764705882352941,0.3537117903930131,5.0
Zheng DBSCAN,"(400.0, 40.0)",0.3747178329571106,0.3878504672897196,0.3624454148471616,5.0
Zheng DBSCAN,"(400.0, 80.0)",0.3971291866028708,0.4391534391534391,0.3624454148471616,5.0
Zheng DBSCAN,"(400.0, 120.0)",0.4059405940594059,0.4685714285714286,0.3580786026200873,5.0
Zheng DBSCAN,"(400.0, 160.0)",0.4089775561097257,0.4767441860465116,0.3580786026200873,5.0
Zheng DBSCAN,"(400.0, 200.0)",0.4060150375939849,0.4764705882352941,0.3537117903930131,5.0
Zheng DBSCAN,"(500.0, 50.0)",0.2857142857142857,0.3851851851851852,0.2270742358078602,5.0
Zheng DBSCAN,"(500.0, 100.0)",0.303206997084548,0.4561403508771929,0.2270742358078602,5.0
Zheng DBSCAN,"(500.0, 150.0)",0.3076923076923076,0.4770642201834862,0.2270742358078602,5.0
Zheng DBSCAN,"(500.0, 200.0)",0.3044776119402985,0.4811320754716981,0.222707423580786,5.0
Zheng DBSCAN,"(500.0, 250.0)",0.3012048192771084,0.4854368932038835,0.2183406113537118,5.0
Zheng DBSCAN,"(600.0, 60.0)",0.2946175637393767,0.4193548387096774,0.2270742358078602,5.0
Zheng DBSCAN,"(600.0, 120.0)",0.301775147928994,0.4678899082568807,0.222707423580786,5.0
Zheng DBSCAN,"(600.0, 180.0)",0.3053892215568862,0.4857142857142857,0.222707423580786,5.0
Zheng DBSCAN,"(600.0, 240.0)",0.3021148036253776,0.4901960784313725,0.2183406113537118,5.0
Zheng DBSCAN,"(600.0, 300.0)",0.3021148036253776,0.4901960784313725,0.2183406113537118,5.0
Zheng DBSCAN,"(700.0, 70.0)",0.2988505747126436,0.4369747899159664,0.2270742358078602,5.0
Zheng DBSCAN,"(700.0, 140.0)",0.3035714285714285,0.4766355140186916,0.222707423580786,5.0
Zheng DBSCAN,"(700.0, 210.0)",0.2951807228915662,0.4757281553398058,0.2139737991266375,5.0
Zheng DBSCAN,"(700.0, 280.0)",0.2951807228915662,0.4757281553398058,0.2139737991266375,5.0
Zheng DBSCAN,"(700.0, 350.0)",0.2900302114803625,0.4705882352941176,0.2096069868995633,5.0
Zheng DBSCAN,"(800.0, 80.0)",0.3023255813953488,0.4521739130434782,0.2270742358078602,5.0
Zheng DBSCAN,"(800.0, 160.0)",0.2985074626865671,0.4716981132075472,0.2183406113537118,5.0
Zheng DBSCAN,"(800.0, 240.0)",0.2951807228915662,0.4757281553398058,0.2139737991266375,5.0
Zheng DBSCAN,"(800.0, 320.0)",0.2900302114803625,0.4705882352941176,0.2096069868995633,5.0
Zheng DBSCAN,"(800.0, 400.0)",0.2900302114803625,0.4705882352941176,0.2096069868995633,5.0
